id,gender,age,date,course_name,before_arousal,before_subjective_preparation,before_anger,before_hate,before_contempt,before_disgust,before_fear,before_disappointment,before_shame,before_regret,before_guilt,before_sadness,before_compassion,before_relief,before_admiration,before_love,before_contentment,before_pleasure,before_joy,before_pride,before_amusement,before_interest,before_other_emotion,after_arousal,after_subjective_performance,after_anger,after_hate,after_contempt,after_disgust,after_fear,after_disappointment,after_shame,after_regret,after_guilt,after_sadness,after_compassion,after_relief,after_admiration,after_love,after_contentment,after_pleasure,after_joy,after_pride,after_amusement,after_interest,after_other_emotion,permission,data_recorder,course_code,credit,semester,requirement,course_level,course_prequisit,lecturer_name,lecturer_email,course_language,grade
343,female,18,########,Statisztika,3,3,NA,NA,NA,NA,3,NA,NA,4,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,3
110,female,18,########,Statisztika,3,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,5,4,4,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
200,female,20,########,Statisztika,4,3,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
409,female,19,########,Statisztika,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,4,NA,4,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,NA
280,female,19,########,Statisztika,4,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,IZAGALOM,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,4,5,4,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
307,female,20,########,Statisztika,3,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,3,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
212,female,19,########,Statisztika,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
362,male,20,########,Statisztika,NA,NA,2,1,3,3,4,4,4,4,4,4,3,2,2,3,2,1,2,1,1,4,NA,2,3,1,1,1,1,1,3,2,3,3,2,3,5,2,4,3,2,4,2,3,2,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
424,male,19,########,Statisztika,2,3,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,4,NA,1,NA,3,5,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
359,female,19,########,Statisztika,5,4,1,1,2,1,5,1,2,3,4,3,4,3,1,1,1,3,2,1,1,4,NA,3,1,4,3,2,2,4,5,5,3,3,5,4,4,1,1,1,1,1,1,1,1,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
