emotion,emotion_hu,emotion_direction
compassion,szánalom,positive
relief,megkönnyebbülés,positive
admiration,csodálat,positive
love,szeretet,positive
contentment,elégedettség,positive
pleasure,élvezet,positive
joy,öröm,positive
pride,büszkeség,positive
amusement,vidámság,positive
interest,érdeklődés,positive
anger,düh,negative
hate,gyűlölet,negative
contempt,megvetés,negative
disgust,undor,negative
fear,félelem,negative
disappointment,csalódottság,negative
shame,szégyen,negative
regret,megbánás,negative
guilt,bűntudat,negative
sadness,szomorúság,negative
